topic,name,solution
Films,Alien Vs Zombies (2018),"in the year 2070, after many years of war, earth has gone silent and The Watchers send a scout ship to investigate. What they discover is beyond their wildest nightmares."
Films,Here for Life (2019),"Here For Life is an uncommon story on common ground. Wayward, hybrid, tender."
Films,"Black Dog, Red Dog (2015)","Black Dog Red Dog is a feature-length project that follows the life of poet Stephen Dobyns as he deals with his relationships with women and with mortality, from his childhood to his time as a young journalist and then his transition to poetry."
Films,Hunter (2013),Two friends vie for the attention of a stranger who passes out at their doorstep.
Films,Dark Secret (1949),A young couple move into a charming rural cottage. They become fixated upon the mysterious death of the earlier female occupant.
Films,Slender (2014),"Based on the Internet sensation, Slenderman, ""Slender"" tells the horrific tale of how five teenagers discover the truth behind the mystery of the disappearances occurring in the small Tennessee town where they live. What they find, though, is a secret darker than they imagined and an even darker discovery that catches them in a terrifying game of fate."
Films,Faust (1994),"A very free adaptation of Marlowe's 'Doctor Faustus', Goethe's 'Faust' and various other treatments of the old legend of the man who sold his soul to the devil. Svankmajer's Faust is a nondescript man who, after being lured by a strange map into a sinister puppet theatre, finds himself immersed in an indescribably weird version of the play, blending live actors, clay model animation and giant puppets."
Films,The Rabbi Goes West (2019),A Chabad rabbi and his wife's adapt to their new home in Montana and encounter a mixed reception from that state's small Jewish community.
Films,Tortured Females (1965),"Unaware of the local Hooded Strangler lurking around her door, poor Helen Doe decides to visit her aunt but, instead, winds up at the ""House of Horror on the hill."" There, she and six other Tortured Females are held by white slavers."
Films,Amar (1954),"Anju Rai lives a wealthy lifestyle with her widowed dad in a palatial house. She is now of marriageable age, and her dad has arranged her marriage with Advocate Amarnath. Both Anju and Amarnath meet and fall in love with each other. Shortly before their formal engagement, Anju notices a change in Amarnath - as he appears to be drifting further from her. Then he decides to demolish his house and re-built it, and also refuses to go near any Mandir - either alone or in Anju's company. When part of the house collapses, he is injured, but recuperates quickly. It is then the town is set afire with rumors that Amarnath may have sexually molested a village belle named Sonia, who sells milk, lives a poor lifestyle with her widowed dad, cruel step-mother, and is to be married to the village goon, Shankar. Watch what happens when Shankar gets killed, and Sonia is arrested for killing him."
Films,My Cousin Rachel (2017),"Philip, an orphan, was taken in and brought up by his cousin Ambrose, a Devon landowner he loves like a father. At a time, Ambrose, who has been advised by his physician a warmer climate, leaves for Tuscany. There he meets and marry Rachel, a half-Italian cousin of his. After an idyllic outset, the situation deteriorates. Shortly before his death, Ambrose manages to alert Philip: his wife is killing him slowly. Willing to sort out the truth, Philip goes to Ambrose's place but he does not find Rachel, who has gone away. Instead he meets Rainaldi, her friend and lawyer, who does not inspire him with confidence. He returns to his estate, persuaded that Rachel is evil and is the direct cause of Ambrose's death. Some time later, Rachel announces her coming. Determined to welcome her coolly, he is stunned to discover a woman not only beautiful but elegant, intelligent and sensitive. Instead of strangling her like he said he would, he falls in love. Madly."
Films,Renegade Monk (1978),"A criminal monk leaves the Shaolin monastery on a brutal rampage that terrorizes the county. A massive manhunt quickly pursues him. Meanwhile, Chow, an amorous young man, is caught with lovely Tin Shun by her angry father who orders him hanged. But kung-fu master Lin, a marshal on the trail of the outlaw monk, halts the illegal execution. Chow promises Lin to help track the fugitive in exchange for kung-fu lessons. Now, in disguise, the renegade monk begins to plot master Lin's murder until Chow discovers his identity, provoking a final one-on-one showdown between two equally-skilled masters of the martial arts."
Films,Rappaccini's Daughter (2013),"A young poet in the midst of crafting his epic masterpiece discovers a hidden Oasis within a vast forest. Inside this forbidden world a dark and alluring maiden, appearing both innocent and malevolent, lures him into an alternate reality of beauty and poison. Within this secret garden, the poet is confronted with very harsh, introspective questions. Is it better to know or to love? And is Man a unified cosmos, or a phantasm immortally trapped between two dark, warring forces?"
Films,Hill Street (2012),The evolution of skateboarding culture in Ireland since the late 1980s.
Films,Night Sweats (2019),"A skateboarder investigating the mysterious death of his roommate is led into the inner workings of a self-help company, and the pharmaceutical lab behind it."
Films,Abraham (2015),This is a story set in a beautiful little known part of rural South Africa. It centres around a man who lives in abject poverty. He has a native talent as a sculptor which he tries to exploit to earn enough money to feed his family. To say any more would mean spoilers.
Films,Ghosthunters (2016),"When one of their own loses his wife and daughter at the hands of a serial killer, a team of ghost hunters is determined to capture the spirits of the loved ones so their spirits can finally rest in peace. But as the team goes deeper into the house, the ghosts become more hostile, and the group discovers the true secrets of the house and its murderer."
Films,Lion Strike (1994),"Dr. Johnny Wu becomes involved in a global Mafia arms cartel when they kidnap his son Bobby. The cartel, made-up of underworld leaders from around the world, become aware that he stumbled onto valuable information on a computer disk he possesses. Louie and his Russian counterpart Vladimir Kruskev use every bit of their cunning to trap Johnny and retrieve the disk."
Films,Sairat (2016),"Sairat is a love story, as advertised. Aarchi , a rich upper class girl falls for her classmate Parshya , a poor but smart boy from the lower social strata. The magic happens, and they start seeing each other. Secretly at first, but they get bolder with passing time. The problem is that Aarchi is not just from the upper class, her father is a powerful politician, and her brother Prince is following in on his footsteps. The entire affair is a recipe for trouble, and as expected, trouble arrives. With the help of Parshya's friends, Baalya and Salya, they decide to make a run for it, but fate has other plans."
Films,Aterro (2011),"Landfill is a documentary that emerged from the perception of a paradox in relation to litter. While most people want to get rid of it, I met some ladies, pioneers of recycling, that they miss the trash from others in side of the house. From the time where I met up making the film, many things happened, both in the media, with all the newly fallacious discourse of sustainability, and in my personal relationship with the trash, when I became the 'householder. ' This is a film of these seven women, who are truly experts."
Films,Los Sures (1984),"In the late 70s and early 80s, Los Sures was one of the poorest neighborhoods in New York City. In fact, it had been called the worst ghetto in America. Diego Echeverria's film skillfully represents the challenges of its time: drugs, gang violence, crime, abandoned real estate, racial tension, single-parent homes, and inadequate local resources. The complex portrait also celebrates the vitality of this largely Puerto Rican and Dominican community, showing the strength of their culture, their creativity, and their determination to overcome a desperate situation. Beautifully restored just in time for the 30th anniversary of the premiere at the New York Festival, this documentary is a priceless piece of New York City history."
Films,The One That Got Away (2016),"""The One that got Away"" is a drama feature about hearts and minds and the limitations that come with love."
Films,"Turn Left, Turn Right (2003)","This is a movie about two people (Gigi Leung and Takeshi Kaneshiro), who are destined to be together but by some twist of circumstances they never find each other."
Films,Into the Picture Scroll: The Tale of Yamanaka Tokiwa (2005),Experimental film transposing frame by frame the famous 150-meter Japanese parchment into celluloid. The original parchment tells the story of a son trying to avenge his mother's death.
Films,Re-Elected (2020),"Deep in the woods on the 4th of July, siblings Nate and Angela must face off against the zombies of American presidents, and their worst nightmare -- spending an entire evening together."
Films,Choices: I Won't Let Go (2016),A plan is set in motion to change the minds of two teenagers from killing themselves… or each other.
Films,Blind Vision (1992),"William, a lonely mail-room employee, is obsessed with Leanne, a beautiful secretary in his office, who also just happens to live in the apartment opposite his. At home he spies on her with a telephoto-lens camera, and one night he sees her having sex with another co-worker from the office, Greg. Shortly afterwards Greg is murdered, and Leanne begins to suspect that William might have done it."
Films,La Sierva (2012),"A Mexican, undocumented housekeeper must fight for survival when she steals from a drug cartel."
Films,"Earth and Space Peace, Moona History: Part 1 (2010)","The theories of displacement have lead nations into war when the eclipse of the modern century takes place with the sun that is more than 100 times bigger than the earth crosses the diameter of the moon in 5minutes, when the moon that is 110 times smaller than the sun crosses the diameter of the earth 180 degree, 12 hour earth time in 12 hours, earth displacement theories."
Films,Air Mail (1932),"Level headed Mike Miller runs Desert Airport, an air mail base full of daring young pilots risking their lives to get the mail through-regardless of the weather. Following the death of one pilot in a horrific crash, Miller is forced to engage the wild and arrogant, yet skillful, Duke Talbot. When pilot Dizzy Wilkins crashes and dies in a storm, Talbot runs off with the young Mrs.Wilkins, leaving Miller to complete the last leg of Wilkins' mail run. Miller crashes on a mountain. Alive but in an inaccessible location, Miller tries to endure his injuries while futile attempts are made by air mail pilots to rescue him. Hearing of the impossibility of reaching Miller's crash site in time to save him, Talbot can't resist the challenge of trying an airborne rescue himself."
Films,The TV Is Coming (2006),"The small south Tunisian village of Al-Malga (literally ""The Shelter"") is spurred into action when a series of phone calls from the capital announce the impending visit of a prestigious production team from German television in the region. Consequently, the town's cultural committee decides to give a positive image of the village and the country and creates an artificial veneer, substantially camouflaging the reality. Chaos ensues as the committee's sycophantic chairman, an ardent feminist, and a number of other unusual characters disagree on the best course of action."
Films,Gun Crazy (1950),"Since he was a child, Bart Tare has always loved guns. After leaving the army, his friends take him to a carnival, where he meets the perfect girl; Annie, a sharp-shooting sideshow performer who loves guns as much as he. The 2 run off and marry, but Annie isn't happy with their financial situation, so at her behest the couple begins a cross-country string of daring robberies. Never one to use guns for killing, Bart's dragged down into oblivion by the greedy and violent nature of the woman he loves."
Films,The Small Hand (2019),"An antique book dealer finds himself haunted by the ghost of a young boy, he decides to investigate the strange occurrences within his life."
Films,Empty Bed (2016),This tells the emotional story of Becca Burke's loss of her sister.
Films,It's Darker Before Dawn (2018),"After the tragic loss of their child, a couple must prepare to witness their last day of light before the world fades into ever winter and darkness."
Films,All God's Creatures (2002),Two drifters charged with murder become victims themselves when the local constable introduces them to small-town vigilante justice.
Films,3 Idiots (2009),"Farhan Qureshi and Raju Rastogi want to re-unite with their fellow collegian, Rancho, after faking a stroke aboard an Air India plane, and excusing himself from his wife - trouser less - respectively. Enroute, they encounter another student, Chatur Ramalingam, now a successful businessman, who reminds them of a bet they had undertaken 10 years ago. The trio, while recollecting hilarious antics, including their run-ins with the Dean of Delhi's Imperial College of Engineering, Viru Sahastrabudhe, race to locate Rancho, at his last known address - little knowing the secret that was kept from them all this time."
Films,Stupidity (2017),"Daniel and his best friend Devin go on a road trip to New Mexico, but when things quickly take a quick turn and the two end up in Mexico they must navigate their way back to the United States in a wild and crazy adventure."
Films,Rabaka (1989),"This musical movie is a story of the group Rabaka (Elán) that after their breakup decide they will return to the concert stage. With young lyricist and screenwriter Peter they're trying get not only technical equipment, but particularly to compile a new concert program called Return of the Little Prince."
Films,Legendary (2013),"Travis and his team travel to China in search of what isn't supposed to exist … their mission to capture a Cryptid which is wreaking havoc in a remote village and they need to do this before it is killed by Harker, the legendary bounty hunter."
Films,The Night Caller (1998),"A woman goes to desperate measures to meet a successful radio psychologist, even if it means killing in order to do so."
Films,Beyond Marão (2014),A surreal journey of a displaced spirit as he wanders through the temporal landscape of a quaint ancestral village lost in the mountains.
Films,A Head Full of Doubt (2017),One man's journey to keep urban youth off Chicago's violent streets. This gritty documentary follows an inspiring male mentoring program called B.A.M. (Becoming A Man). Over 7 years the film takes an intimate look into what urban youth face as they try to graduate to manhood on Chicago's increasingly unstable south and west sides. An inspirational film about a generation of youth that just need someone to believe in them.
Films,Heels (2016),Adopted brothers go to extreme measures while wrestling to save their dads restaurant.
Films,Razzle Dazzle: A Journey Into Dance (2007),"A hilarious mockumentary about kids' competitive dance, complete with overbearing parents, precocious kids, eccentric instructors, and a host of other quirky characters."
Films,Nightmare Alley (2018),"Luftwaffe test pilot Unteroffizier Rolf Pingel is on a mission to draw out a spy, he is captured and going to be executed. The commander organizes a rescue mission before it is too late."
Films,The Polar Bear Club (2014),A stubborn old man struggles with the changes and loss that occur as he and his group of close friends near their life's final chapter.
Films,Wolves of the Rail (1918),"Smoky Gap Railroad president Murray Lemantier is fed up with a bandit gang led by Buck Andrade constantly holding up his train and getting away with it. He hires ace detective David Cassidy to track down and get Buck, dead or alive. However, when Buck goes to see his dying mother she makes him promise to reform, and he does. Cassidy, though, doesn't care about that and tries to arrest him. Buck decides to do something that will once and for all show everyone that he has indeed reformed--especially Faith Lawson, a pretty station agent he's in love with."
Films,Sella Turcica (2010),"Sgt. Bradley Roback (Damien A. Maruscak) returns home from active duty after a mysterious accident leaves him paralyzed. Awaiting his return, his mother, Karmen (Camille Keaton), and younger sister, Ashley (Jade Risser), remain unaware of the details of the accident and severity of Brad's condition. Once he arrives, though he looks sickly, his family members are pleased to see him alive and don't bring attention to his ill appearance. Over the next twenty-six hours Brad's condition terribly worsens, barreling down to a gruesome conclusion that will change the family forever."
Films,Tung moon (2009),"After a top gangster is murdered, his second-in-command must prevent an uprising by rival gangs."
Films,American Success Story (2011),"In an attempt to converse about how he rose to stardom, a star-struck waiter deliberately spills a drink on celebrity Robert Giordano. The offending waiter soon learns struggle and hardship are sometimes the cause, and follow through is the answer."
Films,Rouge Parole (2011),"ROUGE PAROLE is the story of the Tunisian popular revolution, emotionally told by its heroes through both their silence and their clamors. It is the story of Freedom, summoned by History."
Films,Deadland (2009),"Intertwined within it's sci-fi action/thriller roots, at its core DEADLAND is a story of hope set in a post-apocalyptic world. After five years of searching, survivor Sean Kalos stumbles upon proof that his missing wife may still be alive in the new United Provinces. World War III's nuclear strikes on the U.S. set the nation back 200 years, and hope is all but lost when every survivor of the war is infected by a fatal nuclear plague. What was designed to be the new rebirth has become martial law, and the Officers of the Province wield their power with cruelty. When Sean crosses them, he finds himself in the middle of a personal war, and his quest for his wife inspires hope in a land that has forgotten the meaning of the word."
Films,Case Study (2007),"Case Study explores people's views and opinions of the realities of our relationships, such as race relations, disease and illness, hetero- and homo-sexual relationships, loneliness, dating, sex, marriage, etc. While Case Study provides an abundance of laughs, it is also wrought with emotional twists. Insightful and educational, Case Study allows its audience to be the proverbial ""fly on the wall"" peering into the character's real lives. Viewers also hear directly from the characters as they respond in camera to probing interview questions concerning their own personal relationships. Every audience member views Case Study with a true sense of, ""I can relate!"""
Films,Lift the World (2014),"A film about weightlifting presented by IWF. Thanks to this project, young generation and strangers to weightlifting can become familiar with the sport and get involved. It underlines the universality of the sport by presenting it through the eyes of champions, boys and girls, young talents, athletes with different characters and culture."
Films,Fandry (2013),"Love, the most beautiful emotion in all living creatures that God has made knows no bar, caste or boundaries, is the central theme of Fandry. A young lad (Jabya) falls in love with his classmate. Incidentally, he belongs to a lower caste, a family below the poverty line which does all sorts of jobs in the village to survive like catching Pigs and the girl belongs to a higher caste. His parents are working hard to arrange money for their daughter's wedding while Jabya is collecting money for new clothes to impress the girl. Fandry is a story of his aspirations, quest, sorrows, anguish and frustrations. Fandry also touches upon the age old monster of Caste System which is still lurking large upon the society."
Films,Thomas Sankara: The Upright Man (2006),"Thomas Sankara: The Upright Man is a 2006 documentary film about Thomas Sankara, former president of Burkina Faso. Sankara was known as ""the African Che"", and became famous in Africa due to his innovative ideas, his devastating humor, his spirit and his altruism. With a gun in one hand and Karl Marx's works in the other, Sankara became president at the age of 34 and served from 1983 to 1987. He immediately set out to shake the foundations of the country that he renamed from the French colonial Upper Volta to Burkina Faso, ""Land of Upright Men."" More than a classic biography, this film sheds light on the impact that this man and his politic made on Burkina Faso and Africa in general."
Films,Liars' Dice (1998),"Teresa is a therapist who comes home from a long day at work. As she tells of her patients' story about a bizarre love triangle, to her husband, Boyden, she discovers that she can no longer be a passive clinical observer because her own personal life is intertwined with her client's mysterious story."
Films,Abnegate (2017),"A director struggles to finish this movie in the face of adversity (no one wants to work on this movie because the script (Katie and Copper, representing two dueling aspects of the writer's mind, struggle to write a movie as both main characters and omniscient beings in the writer's mindscape) is so bad). The perfect storm of conflicts taking place in the story, in the writer's mind, in the writer's life, in pre production, in production, and in post production cause the movie itself to spiral, exposing at the seams the many different human elements of filmmaking."
Films,Bad 25 (2012),A documentary on Michael Jackson and the legacy of his record Bad.
Films,Sea Shadow (2011),"Mansoor, a 16 year-old teenager, living in a coastal ""freej"" (an Emirati neighborhood), has strong feelings for 16 year-old girl Kaltham. But culture and tradition, as well as family hardship, make it difficult for him to express his feelings. A conversation with his ""know-it-all"" friend convinces him that a gift is the best way to express love, and so, he begins to look for ways to save money for the gift without arousing the suspicion of his family and friends."
Films,Superior (2015),"In 1969, recent high school graduates and best friends Derek and Charlie embark on a 1,300 mile bike trip around Lake Superior to escape the pressure of their future, but the two cousins that left the Keweenaw as boys must overcome the wilderness and uncertainty on their journey as men."
Films,Hidden 3D (2011),"The scientist Susan Carter is researching the rehabilitation of addicts using an experimental drug in her rehab center. After her death, her idle son Brian Carter is forced by his friend Simon to travel to the property that he had inherited. Brian and Simon travel with five other friends to the spot and they find that the center is actually an ancient monastery and they have to spend the night. Sooner they are murdered, one by one, by creepy creatures that live in the place."
Films,Awakening (2016),"After more than a decade of living in America, a young man returns to the small Irish village of his childhood to bury his estranged father. Moving into his father's cottage, he starts suffering terrifying nightmares about a pair of missing local teenagers which awaken terrible childhood memories that he's long repressed. Just when he's sure that he's losing his mind, he learns a terrible truth that throws his entire world upside-down."
Films,Sacrifice (2015),Four teenagers from a small Texas town come face-to-face with their own consciences after a tragic accident.
Films,Legions of the Nile (1959),"Roman Emperor Octavian rules the empire from Rome, and his rival Marc Antony has taken Egyptian queen Cleopatra as his lover and seized the eastern empire, ruling it from Alexandria. Octavian intends to regain his empire by landing his army at Alexandria, besieging the city and capturing and executing the pair. However, while Octavian's army is bigger than Marc Antony's forces, he and Cleopatra have allies who can come to their aid. Both sides prepare for a final showdown."
Films,Alter Ego (2017),A woman torn between tackling offenders and being an offender.
Films,UFO Chronicles: Cosmic Watergate (2013),"After half a century of investigation, Stanton Friedman, a former nuclear physicist who worked on fission and fusion rockets for companies like Westinghouse and Aerojet General Nucleonics, is convinced that not only are UFOs real, the government has known about them since 1947 or prior. Mr. Friedman states ""there is overwhelming evidence that planet Earth is being visited by intelligently controlled extraterrestrial spacecraft and that some UFOs are ET spacecraft, though most are not - a few people in the U.S. and other governments have known the above since at least 1947 and employ a ""need-to-know"" policy regarding this knowledge; that is, the knowledge is highly classified largely as sensitive military information."" Mr. Friedman exposes the many layers to the conspiracy regarding the UFO presence on earth garnered from decades of research."
Films,The New Hibakusha (2014),"Literally meaning explosion affected people, The New Hibakusha looks at the impact of the Fukushima nuclear disaster in a country still coping with the legacy of the first atomic bombing."
Films,Speak Up! It's So Dark… (1993),"This provocative, penetrating drama revolves around Jacob, a Jewish pyschiatrist, and Soren, a Nazi skinhead, who meet accidently. Soren has just been beaten up while taking part in a neo-Nazi demonstration."
Films,A Tramway in Jerusalem (2018),"On a tramway that connects several of Jerusalem's neighborhoods from East to West, a mosaic of people from different religious and ethnic backgrounds are brought together."
Films,Alone in the T-Shirt Zone (1986),"Michael Mikaele is a young man in a catatonic state living in a psychiatric ward where his doctor thinks her sympathies for him justify raping him. It's all part of his mad world, and we see what brought him there. He's an artist from a broken home, working for eight years at a job that he loathes, drawing pictures from sayings on sexually suggestive T-shirts."
Films,Kneel Down and Pray (1972),"A man jailed on false charges, looks for his family upon his release, but he has no idea where his now-adult children may be."
Films,The Hunter (1980),"In order to track down bail jumpers, Ralph 'Papa' Thorson goes on a series of routine and not-so-routine searches. Sometimes he takes down his quarry easily. At other times, he's forced to extreme measures which result in the injury or death of a lawbreaker. And then again, there are other moments when his own life is on the line. It's all enough to make Thorson question what he has done with his life."
Films,Quest for Zhu (2011),"The heartwarming tale of four lively young teens (who just happen to be hamsters) on a quest to find the Palace of Zhu, where they believe all their dreams will come true. Join the feisty and lovable Pipsqueak,Mr. Squiggles, Chunk, Num Nums, and Stinker as she gets swept away to the other side of the Zhuniverse."
Films,Geeksters (2006),"The tale of five Internet geeks who become criminals after pornography is made illegal. The only thing that stands in their way is a gang of preppy, boy band wannabe posers who call themselves the Frontstreet Boys. Filmed entirely in the North End of Winnipeg, this film is low on production values but high in laughs."
Films,Touch Chesi Chudu (2018),"Shyam(Ravi teja) is a light hearted guy,who helps everyone, but problem comes when he falls in love with a Muslim girl Sara(mehreen pirzada),she first ignores Shyam but then he falls in love with him,she tells about her love to her family,but they rejects because Shyam is a Hindu guy. And All the rest story is that how Sara's family Accept them."
Films,Switch (2011),"In Montreal, the unemployed fashion designer Sophie Malaterre is summoned by Claire Maras to show her work to her boss. When Sophie arrives in the company, Clare apologizes and tells that her boss is on vacation and will return only two months later. Clare invites Sophie to have lunch with her and tells Sophie about the website switch.com, where it is possible to switch houses with a stranger for vacation. Sophie seeks an apartment in Paris nearby the Eiffel Tower that belongs to Bénédicte Serteaux and they change apartments. Sophie arrives in Paris on Saturday morning and has a dream day riding a bicycle through the touristic area. However, on the next morning, policemen break in the apartment and arrest Sophie while she is having a bath. Detective Damien Forgeat interrogates Sophie believing that she is Bénédicte and she learns that a beheaded body was found in her room. Further, all the evidences of her life has been deleted and she can not prove that she is Sophie."
Films,Blood First (2014),"O and Rico may have different mothers but the blood of their father, Raqmaan, a hustler, runs deep in their veins and creates a bond between them that is unbreakable. When one of their associates thinks he's been double crossed by them and becomes a FBI informant the brothers must decide between abiding by the code of the streets or trying to save themselves."
Films,Memories of Iraq (2010),"Memories of Iraq is a documentary about reservist soldier Stephen McCoy's experience of Operation TELIC (the British codename for the invasion of Iraq in 2003). Operation TELIC is one of the largest deployments of British Forces since the Second World War. This documentary covers McCoy's memories from the telephone call which lead to his mobilization, the invasion and his return. McCoy recollects a missile attack on the first day, crossing the border at night with the Royal Irish, as well as being with the FIRST troops deployed to Al Amarah and living in Saddam's Palace in Basra."
Films,The Guy in the Grave Next Door (2002),"Desirée, a modern librarian with urban friends and interests is visiting her late husband's grave when she meets Benny, a simple farmer. After his mother's death Benny lives alone on the run-down farm, desperately seeking a woman to take care of him. In spite of their differences the two have the dream of finding that special someone in common, and fall passionately in love. Benny wants Desirée to move in with him and start a family as soon as possible. But being a farmer's wife is not something she is very enthusiastic about. Just presenting Benny as her boyfriend proves to be an embarrassing experience. And when she gets a tempting job offer in Stockholm she has to consider her priorities carefully."
Films,Monuments (2018),A man determined to scatter his wife's ashes by breaking into New York City's Metropolitan Museum of Art goes on a cross-country trip in a stolen truck.
Films,The Lewis Lloyd Black Magic (2011),"One Shot (The Thompson Story) This is a film of two brothers who only had one shot at making it to the NBA. Not your typical Urban film relating to crime, drugs and violence. This is a success story of two African American young men. Who graduated from college before entering the NBA draft, but their road to success was met with some tragedy. However, friends and family support kept these two young men focused on education and success."
Films,Scrapper (2011),"As the global war on terror rages in Afghanistan and Iraq, a defiant group of scrappers eke out a living by infiltrating the live impact areas of a US military bombing range near the US/Mexico border to scavenge aluminum, brass and copper debris from exploded and unexploded ordnance. Dodging fighter jets, attack helicopters, Marines artillery units, Navy Seals, Border Patrol, ICE and Sheriffs agents, these survivalists are driven by adrenaline, crystal meth and wild-west grit to load up on military scrap without breaking down or blowing up in the merciless terrain. Scrappers is a journey into the feast or famine in a Mad Max free-enterprise zone where the welfare and warfare states bitterly collide. For more info, contact us at littlemulesproductions@yahoo.com, or scrapperfilm.com"
Films,Kidz in da Hood (2006),"Kidz in da Hood is the gripping and warm story of Amina, who came to Sweden with her grandfather three years ago. Amina has not yet received her residency permit and when her grandfather dies everything seems to fall apart. She temporarily hides out with pierced and tattooed rocker Johan, who lives in a worn-down suburb. The wild girl Mirre lives on the same floor as Amina and together they begin fighting for Amina to stay in Sweden and live with Johan."
